oem_field,name_field,weight_field,volume_field,brend_field
0018334775,"BUSHING, RUBBER",0.033,0.0,hyundai / kia
0023219024,TRANSMISSION FLUID,2.343,0.0,hyundai / kia
0023219052,SEALANT,1.115,3.042,hyundai / kia
0060326161,"NUT, METAL",0.033,0.0,hyundai / kia
0063612431A,VALVE LIFTER,0.09,0.0,hyundai / kia
0093313812,"GASKET, PARONITE",0.044,0.0,hyundai / kia
0210000110,TRANSMISSION FLUID,1.106,0.0,hyundai / kia
0220000110,TRANSMISSION FLUID,0.0,0.001,hyundai / kia
0310000100,TRANSMISSION FLUID,1.03,0.0,hyundai / kia
0310000130,TRANSMISSION FLUID,1.21,0.0,hyundai / kia
0430000110,ENGINE OIL ,1.052,0.0,hyundai / kia
043005L1A0,ENGINE OIL ,1.1,0.0,hyundai / kia
04300KX1B0,TRANSMISSION FLUID,1.054,0.0,hyundai / kia
0450000100,ENGINE OIL ,1.077,0.0,hyundai / kia
0450000110,TRANSMISSION FLUID,1.075,0.0,hyundai / kia
0450000115,ENGINE OIL ,1.035,0.0,hyundai / kia
0450000117,ENGINE OIL ,1.044,0.0,hyundai / kia
0450000140,TRANSMISSION FLUID,1.025,0.0,hyundai / kia
0450000161,ENGINE OIL ,1.023,0.0,hyundai / kia
0450000400,TRANSMISSION FLUID,4.169,0.0,hyundai / kia
0450000A61,TRANSMISSION FLUID,1.081,0.0,hyundai / kia
0510000141,ENGINE OIL ,0.367,0.0,hyundai / kia
0510000151,ENGINE OIL ,0.0,0.001,hyundai / kia
0510000421,ENGINE OIL ,4.23,0.0,hyundai / kia
0510000441,ENGINE OIL ,4.052,0.0,hyundai / kia
0510000451,ENGINE OIL ,0.673,0.0,hyundai / kia
0520000120,ENGINE OIL ,1.045,0.0,hyundai / kia
0520000411,ENGINE OIL ,16.5,0.0,hyundai / kia
0520000620,ENGINE OIL ,6.189,0.0,hyundai / kia
080C720015,TRANSMISSION FLUID,0.574,0.0,hyundai / kia
084B410416,WIPER BLADE ASSY,0.116,0.525,hyundai / kia
084B410418,WIPER BLADE ASSY,0.125,0.57,hyundai / kia
084B410422,WIPER BLADE ASSY,0.183,0.83,hyundai / kia
084B410424,WIPER BLADE ASSY,0.231,1.05,hyundai / kia
084B410426,WIPER BLADE ASSY,0.219,0.995,hyundai / kia
087904H000A,"FILTER ASSY, AIR ELEMENT",0.22,0.0,hyundai / kia
091471C000,HOOK ASSY,0.459,0.0,hyundai / kia
0AA11042470,"FILTER ASSY, FUEL PUMP",0.0,0.0,hyundai / kia
0AA87023603,"FILTER ASSY, AIR ELEMENT",0.0,0.0,hyundai / kia
0B59068865LK,"CLIP, PLASTIC",0.001,0.003,hyundai / kia
0F28513111A,"GASKET, INLET MANIFOLD METAL",0.073,0.198,hyundai / kia
0FE0110602,SEAL RING,0.017,0.0,hyundai / kia
0G03250037A,"CLIP, PLASTIC",0.002,0.006,hyundai / kia
0G47117485A,"DUST BOOT, BALL JOINT",0.035,0.0,hyundai / kia
0JE1514302,OIL FILTER,0.284,0.0,hyundai / kia
0K01113736B,"GASKET, PARONITE",0.035,0.0,hyundai / kia
0K01133065,SEAL RING,0.028,0.0,hyundai / kia
0K01217909,SEAL RING,0.028,0.0,hyundai / kia
0K01217929,"SLEEVE COLLAR, GEARBOX HUB",0.094,0.255,hyundai / kia
0K01310271,"GASKET, CYLINDER HEAD PARONITE",0.172,0.0,hyundai / kia
0K01850902B,GASKET RUBBER SEAL,0.031,0.084,hyundai / kia
0K01C15174B,"GASKET, RUBBER",0.004,0.012,hyundai / kia
0K01L57752A96,SEAT BELT,0.136,0.0,hyundai / kia
0K04533242,"BUSHING, SEAL KIT RING",0.01,0.027,hyundai / kia
0K04L64523C96,"PLUG, METAL",0.031,0.084,hyundai / kia
0K20111312,SEAL RING,0.048,0.0,hyundai / kia
0K20126660,"ADJUSTER ASSY, DRUM BRAKE",0.13,0.0,hyundai / kia
0K20133065A,SEAL RING,0.021,0.0,hyundai / kia
0K20150893A,STOPPER RUBBER,0.001,0.0,hyundai / kia
0K20312205,"BELT, TIMING",0.172,0.0,hyundai / kia
0K24033980B,BRAKE CALIPER,4.549,0.0,hyundai / kia
0K24712205,"BELT, TIMING",0.242,0.0,hyundai / kia
0K2A116520,"FORK ASSY, CLUTCH RELEASE",0.352,0.0,hyundai / kia
0K2A1509H0,"MOULDING ASSY, PLASTIC",0.171,0.0,hyundai / kia
0K2A218W61A,RESISTOR ASSY,0.196,0.0,hyundai / kia
0K2A43323Z,"PAD KIT, DISC BRAKE",1.418,0.0,hyundai / kia
0K2BW18160,WIRES FOR SPARK PLUGS,0.101,0.0,hyundai / kia
0K2BW18180,WIRES FOR SPARK PLUGS,0.089,0.0,hyundai / kia
0K2C034011ADS,"SPRING, SUSPENSION",2.769,0.0,hyundai / kia
0K2C067330,GASKET RUBBER SEAL,0.124,0.339,hyundai / kia
0K2FA3328Z,"PAD KIT, DISC BRAKE",1.838,0.0,hyundai / kia
0K2KD22540,"DUST BOOT, KIT AXLE JOINT",0.366,0.0,hyundai / kia
0K2N118891,"SENSOR ASSY, TEMPERATURE",0.081,0.222,hyundai / kia
0K2N315186B,RUBBER TUBE,0.265,1.205,hyundai / kia
0K2N339040D,"INSULATOR, ENGINE MOUNTING",2.105,0.0,hyundai / kia
0K2NA34380,"INSULATOR, SHOCK ABSORBER",1.085,0.0,hyundai / kia
0K2NC10271,"GASKET, CYLINDER HEAD METAL",0.143,0.39,hyundai / kia
0K2Y211SJ0,CRANKSHAFT BEARINGS,0.039,0.0,hyundai / kia
0K30A16410,"DISC ASSY, CLUTCH FRICTION",4.081,0.0,hyundai / kia
0K30A18921,"SENSOR ASSY, KNOCK CONTROL",0.22,0.6,hyundai / kia
0K30A59410,"HANDLE, PLASTIC",0.22,0.0,hyundai / kia
0K30A72520B,"GUIDE RAIL, DOOR GLASS",0.178,0.0,hyundai / kia
0K30C11321,PINION ASSY,0.266,0.0,hyundai / kia
0K30C12121,"VALVE, EXHAUST",0.069,0.0,hyundai / kia
0K30C15930B,FERROUS PIPE,0.132,15.0,hyundai / kia
0K30C16460,"DISC, FRICTION  A/T",1.168,0.0,hyundai / kia
0K30E10122A,GASKET RUBBER SEAL,0.004,0.012,hyundai / kia
0K30E16410,"DISC ASSY, CLUTCH FRICTION",4.136,0.0,hyundai / kia
0K32A20490,"FILTER ASSY, FUEL PUMP",0.452,0.0,hyundai / kia
0K46723430,"SENSOR ASSY, FUEL LEVEL",0.059,0.27,hyundai / kia
0K53A32123,"BUSHING, SUSPENSION ARM",0.064,0.0,hyundai / kia
0K53A68510AGE,"MOULDING ASSY, PLASTIC",0.308,1.4,hyundai / kia
0K53A73310B,LOCK ASSY,0.372,0.0,hyundai / kia
0K55232240,"END ASSY, STEERING RACK",0.557,0.0,hyundai / kia
0K55232270,STEERING PUMP,0.241,0.0,hyundai / kia
0K55232280,"END ASSY, TIE ROD STEERING ",0.543,0.0,hyundai / kia
0K55233060,WHEEL HUB ASSY,2.387,0.0,hyundai / kia
0K55234380,"ARM ASSY, SUSPENSION",0.0,0.0,hyundai / kia
0K55315987,"BELT, V",0.088,0.0,hyundai / kia
0K55350611A,"MOULDING ASSY, OUTSIDE",0.044,0.2,hyundai / kia
0K55822530,"JOINT ASSY, DRIVE SHAFT",0.422,0.0,hyundai / kia
0K55839050,"INSULATOR, ENGINE MOUNTING",1.894,0.0,hyundai / kia
0K55839060,"SUPPORT ASSY, ENGINE MOUNTING",1.794,0.0,hyundai / kia
