,0,1,2,3,4,5,6
1,0.0,1,вапвка,2,3,4,5
2,1.0,22112,101004,Амортизатор 101004  52270-1420/S50B0-E0190/E0200  HINO700/GN2/ДемпфКаб/FR  OOtOkO,OOtOkO,4,2700
3,2.0,24074,SA025,Амортизатор 101004/134007/SA025  52270-1420/S50B0-E0190  HINO700/GN2/ДемпфКаб/FR  AUROCHS /_22531,AUROCHS,4,2205
4,3.0,26400,1139,"Амортизатор 1139/442010  ---  TERCEL,CORSA/AL10,AL11,AL12/REAR  TOKICO",TOKICO,1,650
5,4.0,26401,1143,Амортизатор 1143  ---  LEONE/REAR  TOKICO,TOKICO,8,800
6,5.0,91168,1201R,Амортизатор 1201R  W208-36-700A  TITAN/WGSAT/ДемпфКабины/FRONT  TOKICO,TOKICO,>30,2503
7,6.0,26402,1202,Амортизатор 1202/443255  ---  MARCH/K11/92~/REAR  TOKICO,TOKICO,7,900
8,7.0,3086,133001,Амортизатор 133001  52270-1022  HINO/ДемпфКабины/FRONT  KYB,KAYABA,4,1476
9,8.0,5994,SL133002,Амортизатор 133002/SL133002  52270-1370/-1030/-1050  HINO/ДемпфКабины/FRONT  DAICHI,DAICHI,>30,1760
10,9.0,3088,133003,Амортизатор 133003  52270-1161A/-1181A/-1260A  HINO/ДемпфКабины/FRONT  KYB /=134001,KAYABA,2,3448
11,10.0,24192,SA027,Амортизатор 133003/SA027  52270-1161A/-1181A/-1260A  HINO/ДемпфКабины/FRONT  AUROCHS,AUROCHS,10,1524
12,11.0,29876,133005,"Амортизатор 133005  56100-00Z74/-00Z08/95245-00Z02  NissanUD/ДемпфКабины/REAR  KYB /=133016,133006",KAYABA,16,3096
13,12.0,6114,SL133006,"Амортизатор 133006/SL133006  95245-00Z05/95445-00Z67  NissanUD/ДемпфКаб/REAR  DAICHI /=133005,133016",DAICHI,>30,1365
14,13.0,31113,133006,"Амортизатор 133006/SL133006  95245-00Z05/95445-00Z67  NissanUD/ДемпфКабины/REAR  KYB /=133005,133016",KAYABA,2,2340
15,14.0,9619,SL133009,"Амортизатор 133009/SL133009  52270-1021/-1110A  HINO/ДемпфКабины/FRONT,REAR  DAICHI",DAICHI,>30,1420
16,15.0,3090,133011,Амортизатор 133011  MC012599/MK996358  FUSO/ДемпфКабины/FRONT  KYB /=2891R,KAYABA,9,2658
17,16.0,29930,133014,"Амортизатор 133014  95245-Z0000/56100-00Z72  NISSAN/CW52/ДемпфКабины/FRONT,REAR  KYB",KAYABA,1,2759
18,17.0,3084,133016,"Амортизатор 133016  56100-00Z06/56100-00Z04  NissanUD/ДемпфКабины/REAR  KYB /=133005,133006",KAYABA,13,3154
19,18.0,5997,SL133016,Амортизатор 133016/SL133016  56100-00Z06/56100-00Z04  NISSAN/CD45CV/ДемпфКаб/REAR  DAICHI /=133005,DAICHI,>30,1365
20,19.0,3085,133019,Амортизатор 133019  MK996344/MC056531  FUSO/ДемпфКабины/FRONT  KYB /=133020,KAYABA,2,3239
21,20.0,18345,133020,Амортизатор 133020  MC056531/MK996344  FUSO/ДемпфКабины/FRONT  KYB /=133019,KAYABA,1,2415
22,21.0,17269,133023,Амортизатор 133023  95245-30Z05  NissanUD/ДемпфКабины/REAR  KYB,KAYABA,4,3765
23,22.0,23836,S50AC-E0121,Амортизатор 133026  S50AC-E0121/52270-1390/52270-1400  HINO/ДемпфКабины/FR  CN-PARTS,CN-PARTS,4,1500
24,23.0,22110,133029,Амортизатор 133029  56100-01Z07/-01Z08/-01Z13  NissanUD/ДемпфКабины/REAR  KYB,KAYABA,4,3216
25,24.0,94101,SL136001,"Амортизатор 136001/SL136001  56100-Z0008  NissanUD/CD870,CK870/ДемпфКабины/FRONT  DAICHI",DAICHI,>30,2100
26,25.0,92316,20005,Амортизатор 20005/443293  56110-2S600/-2S625  DATSUN/D22/4WD/FRONT  TOKICO,TOKICO,20,2224
27,26.0,6000,SG133018,Амортизатор 20029R/133018/SG133018  1-51630-480-0/52270-1380/1390  GIGA/ДемпфКабины/REAR  DAICHI,DAICHI,>30,2607
28,27.0,25700,2048,"Амортизатор 2048/443312/443150  48531-29645  TITAN/WEFAT,WE5AT/REAR  TOKICO* /=3178,2820,2842,443089",TOKICO,>30,1760
29,28.0,25701,2186,"Амортизатор 2186/443179/443025  48531-29165/48531-29166  BONGO/SSF8,SK82M/REAR  TOKICO",TOKICO,18,1733
30,29.0,26405,2219,"Амортизатор 2219/443238  56110-25G00/-25G85  DATSUN/D21,D22/FRONT  TOKICO",TOKICO,28,1280
31,30.0,91636,2504,"Амортизатор 2504/443089  48531-80554/MB002707  BONGO,DYNA/LY211/REAR  TOKICO /~газматик,343153/",TOKICO,25,1680
32,31.0,25931,2518,"Амортизатор 2518/2183/443226  48531-39075  TOYOACE,DATSUN/JY16,D22/FRONT TOKICO /=444040,W631-28-700",TOKICO,28,1360
33,32.0,25932,2547,"Амортизатор 2547/443185  MB110514  DELICA/L200,L021P/REAR  TOKICO",TOKICO,13,1248
34,33.0,26407,2550,"Амортизатор 2550/443103  ---  CARINA,CRESTA,CORONA/CA67V,LX67,TX67CT174/REAR  TOKICO",TOKICO,3,700
35,34.0,26409,2566,Амортизатор 2566/443349  ---  DATSUN/FRONT  TOKICO,TOKICO,1,700
36,35.0,26410,2575,Амортизатор 2575/443328  ---  LEONE/REAR  TOKICO,TOKICO,4,800
37,36.0,25703,2612,Амортизатор 2612/443181/443346  ---  ACE/#M2#/82~/FRONT  TOKICO,TOKICO,1,700
38,37.0,25704,2614,"Амортизатор 2614/443285  S085-99-281/MR151565  BONGO/SEF8T/REAR  TOKICO /=2554,553193/",TOKICO,3,1904
39,38.0,26411,2619,"Амортизатор 2619/443186  ---  BIGHORN,TOWNACE/UBS52,RR21/RearR,REAR  TOKICO",TOKICO,2,620
40,39.0,25705,2649,Амортизатор 2649/443106  48511-39455/-35510  HILUX/LN60/4WD/FRONT  TOKICO,TOKICO,>30,1583
41,40.0,25934,2663,"Амортизатор 2663/443260  48511-29095/48511-29125  DYNA/LY211,YY211/FRONT  TOKICO",TOKICO,2,1373
