oem_field,brend_field,name_field,weight_field,volume_field
MDX5250628A,hyundai / kia,"CLIP, METAL",0.001,0.003
022103484F,vag,GASKET RUBBER SEAL,0.007,0.018
000093057,vag,WARNING TRIANGLE,0.765,0.0
02E305051C,vag,"FILTER ASSY, COOLANT",0.139,0.0
0K65B10220B,hyundai / kia,"COVER ASSY, CYLINDER HEAD",1.049,0.0
4745239000,hyundai / kia,SEAL RING,0.044,0.0
552102E000,hyundai / kia,SUSPENTION LINK,1.14,0.0
826502E000,hyundai / kia,"HANDLE, PLASTIC",0.473,0.0
000093057,vag,WARNING TRIANGLE,0.0,1.0
02E305051C,vag,"FILTER ASSY, COOLANT",0.0,2.0
