brend_field,oem_field,name_field,weight_field,volume_field
hyundai / kia,0K65B10220B,"COVER ASSY, CYLINDER HEAD",1.049,0.0
hyundai / kia,2221123600,"VALVE, INTAKE",0.055,0.0
hyundai / kia,2231123700,"GASKET, CYLINDER HEAD METAL",0.166,0.0
hyundai / kia,2231125013,"GASKET, CYLINDER HEAD METAL",0.18,0.0
hyundai / kia,2231125212,"GASKET, CYLINDER HEAD METAL",0.175,0.0
hyundai / kia,2231126101,"GASKET, CYLINDER HEAD METAL",0.102,0.0
hyundai / kia,223112G700,"GASKET, CYLINDER HEAD METAL",0.205,0.0
hyundai / kia,2244126020,GASKET RUBBER SEAL,0.067,0.183
hyundai / kia,224412E000,GASKET RUBBER SEAL,0.059,0.162
hyundai / kia,2441026000,"TENSIONER ASSY, PULLEY",0.439,0.0
hyundai / kia,2510027400,WATER PUMP ASSY,1.133,0.0
hyundai / kia,273003F100,"COIL ASSY, IGNITION",0.27,0.0
hyundai / kia,4745239000,SEAL RING,0.032,0.0
hyundai / kia,545302B000,"JOINT ASSY, SUSPENSION",0.462,0.0
hyundai / kia,54830C1000,"LINK, STABILIZER",0.564,0.0
hyundai / kia,552102E000,"ARM ASSY, SUSPENSION",1.14,0.0
hyundai / kia,553202F000,"INSULATOR, SHOCK ABSORBER",0.974,0.0
hyundai / kia,577242S000,"END ASSY, STEERING RACK",0.616,0.0
hyundai / kia,585101R000,"CYLINDER, BRAKE MASTER ",0.839,0.0
hyundai / kia,826502E000,"HANDLE, PLASTIC",0.473,0.0
hyundai / kia,971333SAA0,"FILTER ASSY, AIR ELEMENT",0.191,0.0
hyundai / kia,MDX5250628A,"CLIP, PLASTIC",0.001,0.003
flosser,3157,LIGHT BULB,0.012,0.11
flosser,6418,LIGHT BULB,0.003,0.03
vag,06J115403Q,OIL FILTER,0.535,0.0
vag,074115562,OIL FILTER,0.14,0.0
vag,17117639022,"CAP, RADIATOR",0.089,0.0
vag,8T0127401A,"FILTER ASSY, FUEL PUMP",0.231,0.0
kap,1560168010,OIL FILTER,0.843,0.0
kap,1640072L00,"FILTER ASSY, FUEL PUMP",0.0,0.0
kap,16900SE0931,"FILTER ASSY, FUEL PUMP",0.0,0.0
kap,2330050060,"FILTER ASSY, FUEL PUMP",0.385,0.0
kap,2330061070,"FILTER ASSY, FUEL PUMP",0.0,0.0
kap,2330066030,"FILTER ASSY, FUEL PUMP",0.0,0.0
kap,2330075040,"FILTER ASSY, FUEL PUMP",0.0,0.0
ud trucks,12040Z5603,"RING SET, PISTON",0.101,0.0
ud trucks,15201Z9013,OIL FILTER,0.0,0.0
ud trucks,15208Z9007,OIL FILTER,0.0,0.0
ud trucks,252408996E,"SENSOR ASSY, OIL PRESSURE",0.051,0.138
ud trucks,25250Z2000,"SENSOR ASSY, TEMPERATURE",0.051,0.138
ud trucks,32136Z5002,SEAL RING,0.033,0.0
ud trucks,32136Z5003,SEAL RING,0.029,0.0
ud trucks,432320T000,SEAL RING,0.052,0.0
ud trucks,48720Z2001,OIL FILTER,0.0,0.0
orient,10101G5525,"REPAIR KIT, ENGINE",0.766,0.0
orient,1111588570,"GASKET, CYLINDER HEAD PARONITE",0.21,0.0
mcb,32032,"BEARING, TAPERED",0.209,0.0
mcb,GUT11,"BEARING, ROLLER",0.098,0.0
shimahide,1621075010,"COUPLING ASSY, RUBBER",1.295,0.0
shimahide,210827S00A,"COUPLING ASSY, RUBBER",2.334,0.0
