oem_field,brend_field,name_field,weight_field,volume_field
0011427262,hyundai / kia,PIN SPRING,0.004,0.0
0018334775,hyundai / kia,"WASHER, METAL",0.033,0.0
0018734797,hyundai / kia,"WASHER, METAL",0.011,0.0
0022327401A,hyundai / kia,"WASHER, METAL",0.004,0.0
0022327404A,hyundai / kia,"WASHER, METAL",0.004,0.0
0022327415A,hyundai / kia,"WASHER, METAL",0.022,0.0
0029027301,hyundai / kia,"WASHER, METAL",0.029,0.0
0054027350,hyundai / kia,"BEARING, DIFFERENTIAL GEAR",0.715,0.0
0055933136B,hyundai / kia,BEARING,0.001,0.0
0057827254,hyundai / kia,"WASHER, METAL",0.039,0.0
0060326161,hyundai / kia,"NUT, METAL",0.033,0.0
0060327210,hyundai / kia,"BEARING, TAPERED",0.55,0.0
0063610602,hyundai / kia,"BOLT, METAL",0.033,0.0
0072741023,hyundai / kia,"BUSHING, PLASTIC",0.001,0.0
0075013465,hyundai / kia,"GASKET, EXHAUST PIPE METAL",0.007,0.018
0093313812,hyundai / kia,"GASKET, PARONITE",0.001,0.0
0131633051,hyundai / kia,"WASHER, METAL",0.99,0.0
0135826132,hyundai / kia,WHEEL HUB ASSY,0.09,0.0
0135826142,hyundai / kia,WHEEL HUB ASSY,0.09,0.0
0135827165,hyundai / kia,SEAL RING,0.055,0.0
0136310434A,hyundai / kia,GASKET RUBBER SEAL,0.022,0.06
0510000451,hyundai / kia,ENGINE OIL ,0.673,0.001
0746339231,hyundai / kia,GASKET RUBBER SEAL,0.001,0.003
084602E000,hyundai / kia,MUD GUARD,0.495,0.0
0914611110,hyundai / kia,SCREW DRIVER,0.055,0.0
091472W000,hyundai / kia,HOOK ASSY,0.719,0.0
0B61L10271A,hyundai / kia,"GASKET, CYLINDER HEAD PARONITE",0.114,0.0
0BF706886506,hyundai / kia,"CLIP, PLASTIC",0.006,0.015
0G50217406A,hyundai / kia,"SPRING, SYNCRONIZATOR",0.143,0.0
0G56017290,hyundai / kia,BEARING,0.264,0.0
0G56017310,hyundai / kia,BEARING,0.238,0.0
0G56027261A,hyundai / kia,"SHAFT ASSY, STEERING INTERMEDIATE",0.209,0.0
0HF9051R12C,hyundai / kia,"CLIP, PLASTIC",0.006,0.015
0K01117205,hyundai / kia,"SPRING, RETAINER",0.006,0.0
0K01117395,hyundai / kia,"SPRING, RETAINER",0.004,0.0
0K01117531,hyundai / kia,"SPRING, RETAINER",0.001,0.0
0K01117532,hyundai / kia,"SPRING, RETAINER",0.009,0.0
0K01118741A,hyundai / kia,WIRES FOR SPARK PLUGS,0.193,0.0
0K01128015,hyundai / kia,"ARM ASSY, SUSPENSION",0.084,0.0
0K01132270A,hyundai / kia,"ARM ASSY, SUSPENSION",1.804,0.0
0K01132320B,hyundai / kia,"ARM ASSY, SUSPENSION",2.859,0.0
0K01133195,hyundai / kia,BRAKE ROTOR,0.033,0.0
0K01133302,hyundai / kia,BRAKE ROTOR,0.062,0.0
0K01133671,hyundai / kia,BRAKE ROTOR,0.004,0.0
0K01134510B,hyundai / kia,"ARM ASSY, SUSPENSION",0.96,0.0
0K01139520A,hyundai / kia,"SUPPORT ASSY, ENGINE MOUNTING",0.092,0.0
0K01140305,hyundai / kia,"GASKET, RUBBER",0.024,0.066
0K01155434,hyundai / kia,"COVER ASSY, PLASTIC",0.011,0.05
0K01161191,hyundai / kia,OIL COOLER ASSY,0.003,9.0
0K01217420,hyundai / kia,"FORK ASSY, CLUTCH RELEASE",0.451,0.0
0K01217906,hyundai / kia,"FORK ASSY, CLUTCH RELEASE",0.396,0.0
0K01217977,hyundai / kia,"FORK ASSY, CLUTCH RELEASE",0.001,0.0
0K01222510A,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",4.82,0.0
0K01232462E,hyundai / kia,"HOSE ASSY, WINDSHIELD WASHER",0.055,0.25
0K01232611,hyundai / kia,"HOSE ASSY, WINDSHIELD WASHER",0.099,0.45
0K01313766A,hyundai / kia,RUBBER TUBE,0.165,0.75
0K01315150A,hyundai / kia,FERROUS PIPE,0.634,15.0
0K01315171,hyundai / kia,FERROUS PIPE,0.095,15.0
0K01315186A,hyundai / kia,FERROUS PIPE,0.106,15.0
0K01834011E,hyundai / kia,STABILIZER SHAFT ASSY,3.76,0.0
0K01851740A16,hyundai / kia,"STICKER, LABEL",0.066,0.0
0K01950231A,hyundai / kia,"MOULDING ASSY, RUBBER",0.059,0.0
0K01958601A,hyundai / kia,"HINGE ASSY, FRONT DOOR",0.006,0.0
0K01963951A,hyundai / kia,"GLASS ASSY, WINDSHIELD ",1.322,40.0
0K01A15116A,hyundai / kia,"GASKET, WATER BY-PASS PAPER",0.002,0.006
0K01A33047,hyundai / kia,"NUT, METAL",0.352,0.0
0K01B61459C,hyundai / kia,RELAY,0.252,0.0
0K01D13252,hyundai / kia,"NOZZLE ASSY, FUEL INJECTOR",0.001,0.0
0K01F56216A,hyundai / kia,"BOLT, CAR BATTERY CLAMP",0.042,0.0
0K01V34011A,hyundai / kia,"BUSHING, RUBBER",1.21,0.0
0K02450221EXX,hyundai / kia,BUMBER COVER ASSY ,3.308,25.0
0K02950810GV9,hyundai / kia,FENDER FLARE,0.693,10.0
0K03F6635096,hyundai / kia,"CONTROL UNIT, POWER WINDOW",0.165,0.0
0K04026115A,hyundai / kia,BRAKE DRUM,6.6,0.0
0K04526342,hyundai / kia,GASKET RUBBER SEAL,0.015,0.042
0K04526485,hyundai / kia,GASKET RUBBER SEAL,0.028,0.075
0K04527251,hyundai / kia,PINION ASSY,0.275,0.0
0K0453323Z,hyundai / kia,"PAD KIT, DISC BRAKE",1.878,0.0
0K04533242,hyundai / kia,"PIN, DISC BRAKE",0.01,0.0
0K04533603,hyundai / kia,"PIN, DISC BRAKE",0.002,0.0
0K04533671,hyundai / kia,"PIN, DISC BRAKE",0.004,0.0
0K04534155,hyundai / kia,"BUSHING, STABILIZER",0.007,0.0
0K04534156B,hyundai / kia,"BUSHING, STABILIZER",0.036,0.0
0K04563604C,hyundai / kia,"MOULDING ASSY, WINDOW TRIM",0.198,0.0
0K04R13483,hyundai / kia,"GASKET, RUBBER",0.039,0.105
0K05412121,hyundai / kia,"BELT, TIMING",0.092,0.0
0K05412205,hyundai / kia,"BELT, TIMING",0.176,0.0
0K07651553,hyundai / kia,"STICKER, LABEL",0.033,0.0
0K07759511,hyundai / kia,"GUIDE RAIL, SUNROOF",2.127,0.0
0K07872210,hyundai / kia,"LOCK ASSY, BONNET",0.442,0.0
0K07J20380,hyundai / kia,"TUBE ASSY, VACUUM TRANSMITTING",0.108,0.294
0K08050031CXX,hyundai / kia,"REINFORCEMENT ASSY, BUMPER COVER",3.758,10.0
0K08133030B,hyundai / kia,SEAL RING,5.94,0.0
0K08133067A,hyundai / kia,SEAL RING,0.042,0.0
0K08156990,hyundai / kia,"CABLE ASSY, BONNET LOCK",0.476,0.0
0K08A45360,hyundai / kia,"TUBE ASSY, FUEL TRANSMITTING",0.22,0.0
0K08A61460C,hyundai / kia,RELAY,0.239,0.0
0K08K50710BXX,hyundai / kia,"GRILLE ASSY, RADIATOR",0.77,10.0
0K20116410,hyundai / kia,"DISC ASSY, CLUTCH FRICTION",3.96,0.0
0K20117171,hyundai / kia,BEARING,0.138,0.0
0K20118160,hyundai / kia,WIRES FOR SPARK PLUGS,0.032,0.0
0K20134019,hyundai / kia,"BUSHING, SUSPENSION ARM",0.007,0.0
0K20134349,hyundai / kia,"BUSHING, SUSPENSION ARM",0.039,0.0
0K20140305B,hyundai / kia,"EXHAUST PIPE, MUFFLER",0.024,25.0
0K20140355,hyundai / kia,"EXHAUST PIPE, MUFFLER",0.011,25.0
0K20143980C,hyundai / kia,"BUSHING, METAL ",0.11,0.0
0K20158270A,hyundai / kia,"HANDLE, PLASTIC",0.169,0.0
0K20332114,hyundai / kia,SEAL RING,0.092,0.0
0K20332123,hyundai / kia,SEAL RING,0.059,0.0
0K20332182,hyundai / kia,SEAL RING,0.002,0.0
0K2036945596,hyundai / kia,OUTER MIRROR ASSY,0.035,0.0
0K20A66152,hyundai / kia,WIRE,0.105,0.0
0K20B66121,hyundai / kia,"SWITCH ASSY, IGNITION",0.167,0.0
0K21117265A,hyundai / kia,PINION ASSY,0.044,0.0
0K21117615A,hyundai / kia,PINION ASSY,0.088,0.0
0K21217321,hyundai / kia,"PINION ASSY, SPEEDOMETER",0.006,0.0
0K21417305,hyundai / kia,PINION ASSY,0.264,0.0
0K21417611,hyundai / kia,PINION ASSY,0.495,0.0
0K24015172,hyundai / kia,RUBBER TUBE,0.138,0.625
0K2403298002,hyundai / kia,STEERING WHEEL ASSY,2.75,0.0
0K24033232,hyundai / kia,BRAKE CALIPER,0.014,0.0
0K2403324Z,hyundai / kia,BRAKE CALIPER,0.011,0.0
0K24033694,hyundai / kia,BRAKE CALIPER,0.045,0.0
0K24711312,hyundai / kia,SEAL RING,0.047,0.0
0K24711416A,hyundai / kia,SEAL RING,0.154,0.0
0K24715172A,hyundai / kia,FERROUS PIPE,0.129,15.0
0K24715173A,hyundai / kia,FERROUS PIPE,0.004,15.0
0K24717111F,hyundai / kia,"GAGE ASSY, OIL LEVEL",3.817,0.0
0K24718100A,hyundai / kia,"SENSOR ASSY, THROTTLE POSITION",0.476,1.299
0K24718201,hyundai / kia,"SENSOR ASSY, THROTTLE POSITION",0.001,0.003
0K24718911,hyundai / kia,"SENSOR ASSY, THROTTLE POSITION",0.03,0.081
0K2A115150,hyundai / kia,"CAP, WASHER RESERVOIR PLASTIC",1.716,0.0
0K2A116102,hyundai / kia,"BEARING, GEARBOX",0.036,0.0
0K2A116214,hyundai / kia,"BEARING, GEARBOX",0.05,0.0
0K2A116475,hyundai / kia,"BEARING, GEARBOX",0.015,0.0
0K2A116510A,hyundai / kia,"BEARING, GEARBOX",0.165,0.0
0K2A116520,hyundai / kia,"FORK ASSY, CLUTCH RELEASE",0.425,0.0
0K2A117255,hyundai / kia,PINION ASSY,0.116,0.0
0K2A117330B,hyundai / kia,PINION ASSY,0.671,0.0
0K2A12253X,hyundai / kia,"DUST BOOT, KIT AXLE JOINT",0.223,0.0
0K2A132240,hyundai / kia,"CONTROL UNIT, ANTI-THEFT ALARM",0.495,0.0
0K2A134380A,hyundai / kia,"BUSHING, SUSPENSION ARM",0.393,0.0
0K2A13446Y,hyundai / kia,"BUSHING, SUSPENSION ARM",0.422,0.0
0K2A139800C,hyundai / kia,"SUPPORT ASSY, ENGINE MOUNTING",4.84,0.0
0K2A149514,hyundai / kia,"RESERVOIR ASSY, BRAKE FLUID",0.006,0.0
0K2A150033,hyundai / kia,"BRACKET, REINFORCEMENT",0.004,0.0
0K2A150044,hyundai / kia,"BRACKET, REINFORCEMENT",0.002,0.0
0K2A151881A,hyundai / kia,MUD GUARD,0.121,0.0
0K2A156271A,hyundai / kia,GASKET RUBBER SEAL,0.084,0.228
0K2A158240B,hyundai / kia,GASKET RUBBER SEAL,0.359,0.978
0K2A158410XX,hyundai / kia,GASKET RUBBER SEAL,0.169,0.462
0K2A158511,hyundai / kia,GASKET RUBBER SEAL,2.871,7.83
0K2A159410XX,hyundai / kia,"REGULATOR ASSY, DOOR WINDOW",0.218,0.0
0K2A159511,hyundai / kia,"REGULATOR ASSY, DOOR WINDOW",1.257,0.0
0K2A161C10,hyundai / kia,RUBBER TUBE,0.037,0.17
0K2A167483,hyundai / kia,"LINK ASSY, WINDSHIELD WIPER",0.008,0.0
0K2A167510A,hyundai / kia,"LINK ASSY, WINDSHIELD WIPER",0.002,0.0
0K2A167740,hyundai / kia,"LINK ASSY, WINDSHIELD WIPER",0.037,0.0
0K2A272560D,hyundai / kia,LOCK ASSY,1.264,0.0
0K2A316410A,hyundai / kia,"DISC, FRICTION  A/T",3.96,0.0
0K2A316460,hyundai / kia,"DISC, FRICTION  A/T",1.348,0.0
