MakeLogo	MakeName	DetailNum	DetailPrice	DetailName	PriceLogo	Quantity	PackQuantity	Reliability	WeightKG	VolumeKG	CUR	RESTR	WAW_POL	KIV	KAZA	KAZC	KZ_economy	MOSA	MOSC	KIRG	KIRGS	USA_air	ARM_	EKAT	MOSE	SING	ENGL	SYD	ADL	MEL	NBO	EKAM	AMM	IL	KIEV	MOSS	KAZS	ASH	TURK_LAND	TURK_SEA	TURK_AIR	WAW3D	
!~	WD-40	WD40	4.02		48H 	50	1	85	0.363	0.000	USD		7.11	7.47	6.92	4.75	6.92	6.56	5.58	6.92	4.67	8.74	7.29	7.29	7.11	7.29	7.65	8.38	8.74	7.29	7.65	7.11	6.09	6.09	8.01	5.84	5.29	4.49	4.20	4.09	9.69	6.02	 
!7	Matrix	MX01010001	13.23		48H 	95	1	90	0.000	0.000	USD		13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	13.23	 
!7	Matrix	MX01010002	12.35		48H 	92	1	90	0.000	0.000	USD		12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	 
!7	Matrix	MX01010003	12.35		48H 	94	1	90	0.000	0.000	USD		12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	12.35	 
!7	Matrix	MX01010004	43.53		48H 	10	1	90	0.000	0.000	USD		43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	43.53	 
!7	Matrix	MX01016100	88.23		48H 	72	1	90	0.000	0.000	USD		88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	88.23	 
!7	Matrix	MX01016102	5.88		48H 	11	1	90	0.000	0.000	USD		5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	 
!7	Matrix	MX01016116	7.35		48H 	33	1	90	0.000	0.000	USD		7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	7.35	 
!7	Matrix	MX01016120	85.29		48H 	22	1	90	0.000	0.000	USD		85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	85.29	 
!7	Matrix	MX01016121	8.24		48H 	5	1	90	0.000	0.000	USD		8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	8.24	 
!7	Matrix	MX01016122	29.41		48H 	9	1	90	0.000	0.000	USD		29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	29.41	 
!7	Matrix	MX01016123	10.29		48H 	90	1	90	0.000	0.000	USD		10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	10.29	 
!7	Matrix	MX01016124	6.47		48H 	26	1	90	0.000	0.000	USD		6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	 
!7	Matrix	MX01016126	6.47		48H 	4	1	90	0.000	0.000	USD		6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	6.47	 
