brend_field,oem_field,name_field,weight_field,volume_field
HYUNDAI / KIA,010317411,"SPRING, RETAINER",0.003,0.0
HYUNDAI / KIA,010718201,GASKET RUBBER SEAL,0.001,0.003
HYUNDAI / KIA,018741644,"BUSHING, SEAL KIT RING",0.055,0.15
HYUNDAI / KIA,022327012,"NUT, METAL",0.001,0.0
HYUNDAI / KIA,022327030,"NUT, METAL",0.0,0.0
HYUNDAI / KIA,025946756,"KEY, SYNCHROMESH SHIFTING",0.0,0.0
HYUNDAI / KIA,030527171,"BUSHING, STEERING RACK",0.001,0.0
HYUNDAI / KIA,030549686B,"BUSHING, RUBBER",0.004,0.0
HYUNDAI / KIA,055932284,"SPRING, RETAINER",0.056,0.0
HYUNDAI / KIA,060316103,"BOLT, METAL",0.0,0.0
HYUNDAI / KIA,071028783,"BUSHING, STABILIZER",0.002,0.0
HYUNDAI / KIA,072741023,"BUSHING, PLASTIC",0.013,0.0
HYUNDAI / KIA,073026060,"VALVE ASSY, OIL CHECK",0.0,0.0
HYUNDAI / KIA,0K55110155,"GAGE ASSY, OIL LEVEL",0.002,0.0
HYUNDAI / KIA,0K55110602,SEAL RING,0.035,0.0
HYUNDAI / KIA,0K55115157,"TENSIONER ASSY, PULLEY",0.002,0.0
HYUNDAI / KIA,0K55820490,"FILTER ASSY, FUEL PUMP",0.396,0.0
HYUNDAI / KIA,0K62023802A,OIL FILTER,0.035,0.0
HYUNDAI / KIA,0K65A15173A,"GASKET, RUBBER",0.013,0.036
HYUNDAI / KIA,0K72A34840A,"INSULATOR, SHOCK ABSORBER",0.33,0.0
HYUNDAI / KIA,0S08326165,SCREW ,0.007,0.0
HYUNDAI / KIA,0S08326166,SCREW ,0.066,0.0
HYUNDAI / KIA,0S08326168,SCREW ,0.044,0.0
HYUNDAI / KIA,0S08334433,"BUSHING, SUSPENSION ARM",0.048,0.0
HYUNDAI / KIA,0W02334702,"BOLT, U SPRING LEAF",0.015,0.0
HYUNDAI / KIA,101117443,GASKET RUBBER SEAL,0.002,0.006
HYUNDAI / KIA,136327130,"NUT, METAL",0.149,0.0
HYUNDAI / KIA,136332282,"PLATE, METAL",0.0,0.0
HYUNDAI / KIA,136332283,"PLATE, METAL",0.0,0.0
HYUNDAI / KIA,136825124,"NUT, METAL",0.001,0.0
HYUNDAI / KIA,145610237,"WASHER, METAL",0.002,0.0
HYUNDAI / KIA,145613671,"WASHER, METAL",0.001,0.0
HYUNDAI / KIA,182340060,"BRACKET, EXHAUST PIPE",0.0,0.0
HYUNDAI / KIA,2132142031,SEAL RING,0.024,0.0
HYUNDAI / KIA,2132142041,SEAL RING,0.041,0.0
HYUNDAI / KIA,2141425010,"PLUG, PLASTIC",0.018,0.048
HYUNDAI / KIA,2221242220,"VALVE, INTAKE",0.105,0.0
HYUNDAI / KIA,2231122300,"GASKET, CYLINDER HEAD METAL",0.086,0.234
HYUNDAI / KIA,223113CAA0,"GASKET, CYLINDER HEAD METAL",0.182,0.0
HYUNDAI / KIA,223113CAB0,"GASKET, CYLINDER HEAD METAL",0.182,0.0
HYUNDAI / KIA,231274X000,"BOLT, METAL",0.22,0.0
HYUNDAI / KIA,2330025020,BALANCESHAFT ASSY,7.788,0.0
HYUNDAI / KIA,233002F000,BALANCESHAFT ASSY,9.24,0.0
HYUNDAI / KIA,2481026020,"TENSIONER ASSY, PULLEY",0.299,0.0
HYUNDAI / KIA,2510002566,WATER PUMP ASSY,0.873,0.0
HYUNDAI / KIA,2510027400,WATER PUMP ASSY,1.133,0.0
HYUNDAI / KIA,253502F000,"SHROUD ASSY, COOLING FAN",0.296,1.345
HYUNDAI / KIA,253502Y000,"SHROUD ASSY, FAN",1.991,15.0
HYUNDAI / KIA,253802Y000,"SHROUD ASSY, FAN",4.62,15.0
HYUNDAI / KIA,2538145000,"BRACKET, REINFORCEMENT",0.099,0.0
HYUNDAI / KIA,254112F000,RUBBER TUBE,0.198,0.9
HYUNDAI / KIA,2561133010,"FLANGE ASSY, CRANKSHAFT",0.117,0.0
