oem_field,brend_field,name_field,price_field,quantity_field,volume_field,weight_field
SB-4722,555,"    ОПОРА ШАРОВАЯ /555/CBN33,4016050Y00, 4016018V00, 4016050Y10, 4016060Y00, 4016052Y00, 4016060Y20",340,3,0,0
SB-4821,555,"    ОПОРА ШАРОВАЯ /555/CBN62,401103S600, 401102S685, 401108B525, 401102S686, 401109Z050",665,3,0,0
SB-7172,555,"    ОПОРА ШАРОВАЯ /555/CBM10,MB185329",340,3,0,0
SE-2541,555,"    НАКОНЕЧНИК РУЛЕВОЙ/555/CET25,4504629135",235,3,0,0
SE-7252,555,"    НАКОНЕЧНИК РУЛЕВОЙ/555/CEM10,CEM28,CEKH20,MB241206, MB315776, MR296274,MB831044,S2370704, HB568110",385,3,0,0
SL-6265L,555,"    ЛИНК СТАБИЛИЗАТОРА /555/CLHO15,52321S04003, 53321S04003, HDCVC96840L",280,3,0,0
SL-7705,555,"    ЛИНК СТАБИЛИЗАТОРА /555/CLM3,5483029000,5483029500,MR272117,5483029500AS,MB879354,MB809354,MR272118",485,3,0,0
SL-7820R,555,"    ЛИНК СТАБИЛИЗАТОРА /555/CLM30, 5483025020, 4056A015, 4056A016, CLH014, 51320S2G003, 5483025010",355,3,0,0
SR-2991,555,"    ВАЛ-ШАРНИР РУЛЕВОЙ/555/CRT45,4550305010, 4550329475",415,3,0,0
SR-3590,555,"    ВАЛ-ШАРНИР РУЛЕВОЙ/555/CRT31,4550306080, 455038Y001",195,3,0,0
SR-3940,555,"    ВАЛ-ШАРНИР РУЛЕВОЙ/555/4550349095,4550349025/",855,3,0,0
SR-4870,555,"    ВАЛ-ШАРНИР РУЛЕВОЙ/555/CRN12,485210C825, 485210C026, 485210L701, 485210C800, 4852140D25",370,3,0,0
SR-7310,555,"    ВАЛ-ШАРНИР РУЛЕВОЙ/555/CRM10,MB532971, MR210221 ",590,3,0,0
SR-7320,555,"    ВАЛ-ШАРНИР РУЛЕВОЙ/555/CRM16,MB532972,CR0367/",150,3,0,0
BTM-001,AISIN,"    НАТЯЖИТЕЛЬ ГИДРАВЛИЧЕСКИЙ, РЕМНЯ ГРМ/MR984375",5815,3,0,0
13234000,AJUSA,    ПРОКЛАДКА ВПУСКНОГО КОЛЛЕКТОРА /AJUSA/ 1540A199,1255,3,0,0
ADB3775,ALLIED NIPPON,    КОЛОДКИ ТОРМОЗНЫЕ /ALLIED NIPPON/4605A783/MR389575,2140,3,0,0
AMDSB2446,AMD,    ОПОРА ПРДН. СТОЙКИ /4060A417/GF7W.GF8W.GG2W/,2180,3,0,0
RR0192,AUTO-GUR,    КОЛЬЦО УПЛОТНИТЕЛЬНОЕ /MR212315/,90,3,0,0
RA-32000,AUTOWELT,    КОРОМЫСЛО ВПУСКН. КЛАПАНА MD324966 MD352127 MD153990 MD307724,1200,10,0,0
RA-32001,AUTOWELT,    КОРОМЫСЛО ВЫПУСКН. КЛАПАНА MD324967 MD307725 MD153991 MD352128,1200,10,0,0
RA-32004,AUTOWELT,"    КОРОМЫСЛО ВПУСКН./ВЫПУСКН. КЛАПАНА/MD324968,MD196125",1395,3,0,0
RA-32008,AUTOWELT,    КОРОМЫСЛО КЛАПАНА/AUTOWELT/MD195450/,965,3,0,0
RB-32004,AUTOWELT,    ВИНТ РЕГУЛИРОВОЧНЫЙ С ГАЙКОЙ MD180514 4D56/65/68 4M51,225,10,0,0
VE-32009,AUTOWELT,    КЛАПАН ВЫПУСКНОЙ/AUTOWELT/6G74 30.5 MD168241 MD135482 MD135480 MD183730,405,3,0,0
6PK1970,AVANTECH,"    РЕМЕНЬ ПРИВОДНОЙ/AVANTECH/9091602308, 9091602307",455,3,0,0
7PK1935,AVANTECH,"    РЕМЕНЬ ПРИВОДНОЙ/AVANTECH/9091602503, 9008091214, 90916A2012, 9091602553, 9091602502, 9091602598",685,3,0,0
AB-122,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A193,AY120TY056, 1780121020, V91120021",225,3,0,0
AB-130,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A159A,1780116010, 178011601083, AY120TY021, V91121007",165,3,0,0
AB-416,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /SA3007,MD623174, MD620721, AY120MT020, MD620720, V9112M102",225,3,0,0
ABH0101,AVANTECH,    ВТУЛКА СТАБИЛИЗАТОРА /4881512340,135,3,0,0
ABH0119,AVANTECH,    ВТУЛКА СТАБИЛИЗАТОРА /4881560100,210,3,0,0
ABH0243,AVANTECH,    ВТУЛКА СТАБИЛИЗАТОРА /546133UB0A,250,3,0,0
ABH4188,AVANTECH,    ВТУЛКА СТАБИЛИЗАТОРА /48815-60260,285,3,0,0
AF0116,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A147,1780168020, 1780160050, 1780160040, 2330489101, 17801670308T, 1780178011",1250,3,0,0
AF0118,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A176,17801110908T, 178011109083, 1780111090, AY120TY020",430,3,0,0
AF0146,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A1008,178015006079, 1780150060, AY120TY085",560,3,0,0
AF0186,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A1022,1780131170, 1780131100, 178013117079",650,3,0,0
AF0316,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /17220RB6Z00, AY120-HN039, H1722-RB0-J01, V9112-H046, 17220-RB0-000 ",570,3,0,0
AF0318,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A874,8943604271, H1722PWC010, 17220PWC000, 17220PWA003, AY120HN032, 17220PWAY00",355,3,0,0
AF0332,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A884,17220PWAJ10, 17220PWA505",470,3,0,0
AF0334,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A870,17220PLC505, 1132402340, 1132402050, 17220PLCY00, 17220PMRA00, 17220PLC000",530,3,0,0
AF0418,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /AY120-MA027, V9112-E021, ZJ01-13-Z40, ZJ01-13-Z409A ",320,3,0,0
AF0701,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A958,1561378020, 1378058B00",470,3,0,0
AF0706,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /A963,1A0213Z40, 1A0313Z40, 1N0014302, 9586081A10, 1378081A00, YJ0114302,1378077A00",515,3,0,0
AF2407,AVANTECH,"    ФИЛЬТР ВОЗДУШНЫЙ /036129620H, 036129620H, 036129620J",400,3,0,0
ARE0153,AVANTECH,    ТЯГА РУЛЕВАЯ /45503B1020,620,3,0,0
ASB0327,AVANTECH,    САЙЛЕНТБЛОК /51391S04005,515,3,0,0
ASL0102L,AVANTECH,    ЛИНК /4881044010,370,3,0,0
FF0201,AVANTECH,    ФИЛЬТР ТОПЛИВНЫЙ /1640359E00,515,3,0,0
OF1101,AVANTECH,"    ФИЛЬТР МАСЛЯНЫЙ /C207L,1520871J00, 15208J7525, 15208H8917, 15208AA00, 15208H8916, 15208N8912",165,3,0,0
2445,BANDO,"    РЕМЕНЬ КЛИНОВОЙ/9091602353,9091602092, 909160235383, 9933111135, 11720K9180",260,3,0,0
84ZA19,BANDO,"    РЕМЕНЬ ГРМ /BANDO/5019,CT669,14400634005, 1276173001, 1276173000, 14400634004, BNP2955/",265,3,0,0
BP01-12-205A,BANDO,"    РЕМЕНЬ ГРМ /BP0212205, A337YU22MM, BP0112205B9A, B36612205A, 0K20112205, BP0112205",545,3,0,0
34321159890,BMW,    ШЛАНГ ТОРМОЗНОЙ,2495,3,0,0
255-381,BOSAL,"    КРОНШТЕЙН ГЛУШИТЕЛЯ, ПОДВЕСНОЙ /MR431634,MB906128/",295,3,0,0
450905914,BOSCH,"    ФИЛЬТР ТОПЛИВНЫЙ/BOSCH/MB868455,MB868452,MB868462/",1480,3,0,0
580453453,BOSCH,"    НАСОС ТОПЛИВНЫЙ В БАКЕ/BOSCH/MR993339,1760A233,1760A294,MR450540,2322031430,1510080840,A70421W210/ ",5095,3,0,0
1987481088,BOSCH,"    ШЛАНГ ТОРМОЗНОЙ, ПРДН. ПРАВ./4650A082,4650B636,4650A646,4650A708,4650B728/",2075,3,0,0
1987481842,BOSCH,"    ШЛАНГ ТОРМОЗНОЙ, ПРДН. ЛЕВ/4650A081,4650B635,4650A645,4650A707,4650B727/",2075,3,0,0
385-99,CAFFARO,"    РОЛИК НАТЯЖНОЙ БЕЗ НАТЯЖ, МЕХАНИЗМА/1345A008,1345A059,1345A060,1345A079,1345A158/",1200,3,0,0
