Nomber,Name,Weight,Volume,Brand,Price,Min
1005B210,"GASKET, RUBBER",0.213,0.582,centtec,1192.36,1
110440W000,"GASKET, GRAPHITE",0.143,0.39,centtec,462.17,1
110440W000,"GASKET, CYLINDER HEAD GRAPHITE WITH METAL",0.136,0.372,nissan,1241.09,1
1111511010,"GASKET, RUBBER",0.132,0.36,toyota,1717.41,1
1111516121,"GASKET, RUBBER",0.114,0.312,toyota,2225.95,1
111151701005,"GASKET, CYLINDER HEAD METAL",0.551,1.503,cherry,2646.46,1
111151701005,"GASKET, CYLINDER HEAD METAL",0.551,1.503,toyota,4307.28,1
1111521030,"GASKET, CYLINDER HEAD METAL",0.295,0.804,centtec,803.29,1
1111521030,"GASKET, CYLINDER HEAD METAL",0.121,0.33,stone,1460.39,1
1111554073D0,"GASKET, CYLINDER HEAD METAL",0.523,1.425,toyota,3394.73,1
1111554073F0,"GASKET, CYLINDER HEAD METAL",0.558,1.521,toyota,3163.65,1
1111554084B0,"GASKET, CYLINDER HEAD METAL",0.505,1.377,toyota,2822.53,1
1111554084D0,"GASKET, CYLINDER HEAD METAL",0.66,1.8,centtec,778.93,1
1111554084D0,"GASKET, CYLINDER HEAD METAL",0.545,1.485,toyota,2890.91,1
1111554084F0,"GASKET, CYLINDER HEAD METAL",0.66,1.8,centtec,584.0,1
1111574110,"GASKET, CYLINDER HEAD METAL",0.37,1.008,centtec,730.19,1
1111588570,"GASKET, RUBBER",0.182,0.495,toyota,2797.37,1
1114152D01,"GASKET, CYLINDER HEAD METAL",0.661,1.803,centtec,2360.36,1
1118685FA0,GASKET RUBBER SEAL,0.187,0.51,centtec,413.44,1
1118685FA0,GASKET RUBBER SEAL,0.039,0.105,suzuki,885.82,1
1119336010,GASKET RUBBER SEAL,0.018,0.048,centtec,73.1,1
1119336010,GASKET RUBBER SEAL,0.012,0.033,toyota,86.46,1
1121315050,GASKET RUBBER SEAL,0.052,0.141,stone,413.44,1
1121315050,GASKET RUBBER SEAL,0.052,0.141,toyota,621.73,1
1121317010,GASKET RUBBER SEAL,0.088,0.24,centtec,340.34,1
1121317010,GASKET RUBBER SEAL,0.079,0.216,toyota,627.23,1
1121320030,GASKET RUBBER SEAL,0.057,0.156,centtec,389.07,1
1121320030,GASKET RUBBER SEAL,0.063,0.171,toyota,616.22,1
1121331030,GASKET RUBBER SEAL,0.306,0.834,centtec,510.9,1
1121331030,GASKET RUBBER SEAL,0.077,0.21,toyota,623.3,1
12251PWAJ01,"GASKET, CYLINDER HEAD METAL",0.26,0.708,centtec,899.97,1
12341PWC000,GASKET RUBBER SEAL,0.132,0.36,centtec,486.53,1
12341PWC000,GASKET RUBBER SEAL,0.036,0.099,honda,855.17,1
12341RNAA01,GASKET RUBBER SEAL,0.153,0.417,centtec,315.97,1
12341RNAA01,GASKET RUBBER SEAL,0.039,0.105,honda,1032.8,1
132762W201,GASKET RUBBER SEAL,0.022,0.06,centtec,268.03,1
1405825500,"PLUG, BODY PANEL",0.018,0.048,trw,25.94,1
17105P2J014,"GASKET, WATER BY-PASS PAPER",0.068,0.186,honda,688.54,1
17105P2J014,"GASKET, INLET MANIFOLD METAL",0.067,0.183,stone,204.36,1
17117639022,"COVER ASSY, PLASTIC",0.092,0.42,bmw,1271.75,1
2231125013,"GASKET, CYLINDER HEAD METAL",0.268,0.732,centtec,1168.0,1
223112G700,"GASKET, CYLINDER HEAD METAL",0.275,0.75,centtec,1265.46,1
2244126020,GASKET RUBBER SEAL,0.072,0.195,dyg,233.44,1
2244126020,GASKET RUBBER SEAL,0.067,0.183,hyundai / kia,661.03,1
224412E000,GASKET RUBBER SEAL,0.063,0.171,dyg,277.46,1
224412E000,GASKET RUBBER SEAL,0.059,0.162,hyundai / kia,681.46,1
2329120010,GASKET RUBBER SEAL,0.002,0.006,denso,157.99,1
2329120010,GASKET RUBBER SEAL,0.002,0.006,toyota,223.22,1
25250Z2000,"SENSOR ASSY, OIL PRESSURE",0.048,0.132,nissan diesel,2530.92,1
25250Z2000,"SENSOR ASSY, TEMPERATURE",0.051,0.138,ud trucks,1143.63,1
