Nomber,Name,Weight,Volume,Brand,Price,Min
0023219052,SEALANT,1.115,3.042,hyundai / kia,1035.95,1
084B410416,WIPER BLADE ASSY,0.116,0.525,hyundai / kia,311.26,1
084B410418,WIPER BLADE ASSY,0.125,0.57,hyundai / kia,299.47,1
084B410422,WIPER BLADE ASSY,0.183,0.83,hyundai / kia,365.49,1
084B410424,WIPER BLADE ASSY,0.231,1.05,hyundai / kia,413.44,1
084B410426,WIPER BLADE ASSY,0.219,0.995,hyundai / kia,510.9,1
0B59068865LK,"CLIP, PLASTIC",0.001,0.003,hyundai / kia,2.36,1
0F28513111A,"GASKET, INLET MANIFOLD METAL",0.073,0.198,hyundai / kia,218.51,1
0G03250037A,"CLIP, PLASTIC",0.002,0.006,hyundai / kia,41.66,1
0K01217929,"SLEEVE COLLAR, GEARBOX HUB",0.094,0.255,hyundai / kia,3027.67,1
0K01850902B,GASKET RUBBER SEAL,0.031,0.084,hyundai / kia,730.19,1
0K01C15174B,"GASKET, RUBBER",0.004,0.012,hyundai / kia,49.52,1
0K04533242,"BUSHING, SEAL KIT RING",0.01,0.027,hyundai / kia,126.55,1
0K04L64523C96,"PLUG, METAL",0.031,0.084,hyundai / kia,86.46,1
0K2C067330,GASKET RUBBER SEAL,0.124,0.339,hyundai / kia,420.51,1
0K2N118891,"SENSOR ASSY, TEMPERATURE",0.081,0.222,hyundai / kia,1759.07,1
0K2N315186B,RUBBER TUBE,0.265,1.205,hyundai / kia,804.08,1
0K2NC10271,"GASKET, CYLINDER HEAD METAL",0.143,0.39,hyundai / kia,1203.37,1
0K30A18921,"SENSOR ASSY, KNOCK CONTROL",0.22,0.6,hyundai / kia,1946.92,1
0K30C15930B,FERROUS PIPE,0.132,15.0,hyundai / kia,2968.72,1
0K30E10122A,GASKET RUBBER SEAL,0.004,0.012,hyundai / kia,219.29,1
0K46723430,"SENSOR ASSY, FUEL LEVEL",0.059,0.27,hyundai / kia,948.7,1
0K53A68510AGE,"MOULDING ASSY, PLASTIC",0.308,1.4,hyundai / kia,14.93,1
0K55350611A,"MOULDING ASSY, OUTSIDE",0.044,0.2,hyundai / kia,826.87,1
0K55W20490B,"FILTER ASSY, FUEL PUMP",0.088,0.4,hyundai / kia,730.19,1
0K60A15186A,RUBBER TUBE,0.201,0.915,hyundai / kia,535.27,1
0K62218510,"SENSOR ASSY, TEMPERATURE",0.031,0.084,hyundai / kia,437.8,1
0K78K61C20,SWITCH ASSY,0.03,0.135,hyundai / kia,1171.14,1
0K95A40306A,"GASKET, RUBBER",0.03,0.081,hyundai / kia,268.03,1
1573318000,"PLUG, METAL",0.006,0.015,hyundai / kia,24.37,1
1573418000,"PLUG, METAL",0.006,0.015,hyundai / kia,29.08,1
1573425000,"PLUG, METAL",0.017,0.045,hyundai / kia,96.68,1
