Nomber;Name;Brand;Min;Price;Weight;Volume
1000A111;Dichtungssatz GDI;MITSUBISHI;1;8779.18;0.178;0.486
1000A992;Dichtungsmittel;MITSUBISHI;1;1876.41;0.207;0.564
1003A092;Motorabdeckung O.;MITSUBISHI;1;8173.74;1.32;15.0
1003A093;Isolierscheibe;MITSUBISHI;1;273.09;0.004;0.012
1003A174;Motorabdeckung O.;MITSUBISHI;1;13243.9;0.983;15.0
1003A198;Motorabdeckung O.;MITSUBISHI;1;38219.43;1.705;15.0
1003A243;Motorabdeckung O.;MITSUBISHI;1;8173.74;1.32;15.0
1003A341;Motorabdeckung O.;MITSUBISHI;1;13471.48;1.199;15.0
1005A206;Zylinderkopfdichtung;MITSUBISHI;1;4473.32;0.328;0.894
1005A703;Zylinderkopfdichtung;MITSUBISHI;1;5083.04;0.29;0.792
1005A862;Zylinderkopfdichtung;MITSUBISHI;1;4212.25;0.191;0.522
1005B047;Zylinderkopfdichtung;MITSUBISHI;1;3830.1;0.101;0.276
1005B222;Zylinderkopfdichtung;MITSUBISHI;1;5517.58;0.319;0.87
1005B428;Zylinderkopfdichtung;MITSUBISHI;1;4919.88;0.201;0.549
1005B450;Zylinderkopfdichtung;MITSUBISHI;1;4064.54;0.292;0.795
1005B672;Zylinderkopfdichtung;MITSUBISHI;1;4847.74;0.532;1.452
1005B762;Zylinderkopfdichtung;MITSUBISHI;1;5785.51;0.321;0.876
1005B764;Zylinderkopfdichtung;MITSUBISHI;1;5672.16;0.355;0.969
1005B765;Zylinderkopfdichtung;MITSUBISHI;1;5672.16;0.367;1.002
1005C724;Zylinderkopfdichtung;MITSUBISHI;1;5364.72;0.625;1.704
1010A384;Ventilsitz EV;MITSUBISHI;1;2906.93;0.011;0.03
1015A395;Positionszylinder;MITSUBISHI;1;1627.36;0.11;0.3
1015B006;Dichtung;MITSUBISHI;1;1391.2;0.056;0.153
1028A011;Dichtung;MITSUBISHI;1;553.05;0.006;0.015
1028A044;Oelzulaufleitung;MITSUBISHI;1;3027.15;0.191;15.0
1028A052;Dichtung;MITSUBISHI;1;105.63;0.006;0.015
10290AX1;CLIP;MITSUBISHI;1;14.6;0.001;0.003
1032A190;Ventilstoessel;MITSUBISHI;1;969.55;0.033;0.09
1035A108;Ventildeckeldichtung;MITSUBISHI;1;2286.04;0.065;0.177
1035A131;Abdeckung;MITSUBISHI;1;4396.89;0.136;0.62
1035A181;Entlueftungsschlauch;MITSUBISHI;1;825.28;0.045;0.205
1035A333;Ventildeckel;MITSUBISHI;1;28682.82;3.608;4.0
1035A419;O-Ring;MITSUBISHI;1;105.63;0.002;0.006
1035A456;Ventildeckel;MITSUBISHI;1;42684.15;1.804;4.0
1035A457;Entlueftungsschlauch;MITSUBISHI;1;1067.45;0.048;0.22
1035A484;Entlueftungsschlauch;MITSUBISHI;1;1317.35;0.092;0.42
1035A571;Ventildeckel;MITSUBISHI;1;18920.35;3.165;4.0
1035A583;Ventildeckeldichtung;MITSUBISHI;1;1708.95;0.075;0.204
1035A598;Entlueftungsschlauch;MITSUBISHI;1;1167.06;0.039;0.175
1035A611;Entlueftungsschlauch;MITSUBISHI;1;1611.91;0.086;0.39
1035A632;Ventildeckel;MITSUBISHI;1;48285.03;3.064;4.0
1035A637;Ventildeckel;MITSUBISHI;1;20357.93;2.64;4.0
1035A698;Ventildeckeldichtung;MITSUBISHI;1;2146.92;0.053;0.144
1035A699;Ventildeckel;MITSUBISHI;1;28682.82;1.089;4.0
1035A714;Ventildeckeldichtung;MITSUBISHI;1;1724.4;0.054;0.147
1035A716;Entlueftungsschlauch;MITSUBISHI;1;2640.71;0.096;0.435
1035A738;Ventildeckel;MITSUBISHI;1;20357.93;3.049;4.0
1035A769;Entlueftungsschlauch;MITSUBISHI;1;1007.33;0.062;0.28
1035A799;Schlauchsatz;MITSUBISHI;1;3769.13;0.149;0.675
1035A801;Entlueftungsschlauch;MITSUBISHI;1;627.76;0.034;0.155
1035A802;Entlueftungsschlauch;MITSUBISHI;1;976.42;0.058;0.265
1035A810;Ventildeckel;MITSUBISHI;1;41852.01;3.869;4.0
1035A820;Entlueftungsschlauch;MITSUBISHI;1;1567.25;0.097;0.44
1035A836;Entlueftungsschlauch;MITSUBISHI;1;1150.75;0.058;0.265
1035A863;Entlueftungsschlauch;MITSUBISHI;1;914.59;0.052;0.235
1035A907;Ventildeckel;MITSUBISHI;1;42684.15;1.728;4.0
1035A914;Ventildeckeldichtung;MITSUBISHI;1;1708.95;0.088;0.24
1035A916;Ventildeckeldichtung;MITSUBISHI;1;1708.95;0.075;0.204
1035A956;Entlueftungsschlauch;MITSUBISHI;1;1218.59;0.065;0.295
1035A991;Ventildeckeldichtung;MITSUBISHI;1;1470.21;0.04;0.108
1035B003;Entlueftungsschlauch;MITSUBISHI;1;1189.39;0.048;0.22
1035B043;Entlueftungsschlauch;MITSUBISHI;1;907.72;0.127;0.575
1035B051;Ventildeckel;MITSUBISHI;1;25276.95;1.855;4.0
1035B076;Ventildeckeldichtung;MITSUBISHI;1;1470.21;0.042;0.114
1035B156;Ventildeckel;MITSUBISHI;1;12260.62;1.143;4.0
1035B184;Entlueftungsschlauch;MITSUBISHI;1;1666.01;0.099;0.45
1035B187;Entlueftungsschlauch;MITSUBISHI;1;3671.23;0.139;0.63
1035B208;Entlueftungsschlauch;MITSUBISHI;1;1136.15;0.04;0.18
1035B243;Ventildeckeldichtung;MITSUBISHI;1;1334.52;0.067;0.183
1035B281;Ventildeckeldichtung;MITSUBISHI;1;2467.24;0.09;0.246
1035B339;Ventildeckeldichtung;MITSUBISHI;1;1990.62;0.044;0.12
1035B365;Ventildeckel;MITSUBISHI;1;28682.82;1.579;4.0
1035B394;Ventildeckel;MITSUBISHI;1;46922.17;0.066;4.0
1050B373;O-Ring;MITSUBISHI;1;447.42;0.007;0.018
1052A150;Dichtflansch;MITSUBISHI;1;3797.47;0.212;0.579
1052B328;Dichtflansch;MITSUBISHI;1;3797.47;0.212;0.579
1052B586;Dichtflansch Kurbelwelle;MITSUBISHI;1;6447.62;0.255;0.696
1057A029;Anschlussnippel;MITSUBISHI;1;644.08;0.011;0.05
1062A023;Zahnriemenabdeckung;MITSUBISHI;1;7151.81;0.558;1.0
1062A045;Zahnriemenabdeckung;MITSUBISHI;1;7205.91;0.277;1.0
1062A050;Dichtung;MITSUBISHI;1;234.44;0.01;0.027
1062A051;Dichtung;MITSUBISHI;1;234.44;0.008;0.021
1062A068;Zahnriemenabdeckung;MITSUBISHI;1;4532.57;0.194;1.0
1062A151;Zahnriemenabdeckung;MITSUBISHI;1;7462.69;0.952;1.0
1064A040;Dichtung;MITSUBISHI;1;1090.63;0.022;0.06
1064A041;Dichtung;MITSUBISHI;1;319.46;0.058;0.159
1090A001;Quertraeger;MITSUBISHI;1;41095.44;13.838;50.0
1110B379;Sicherungsring;MITSUBISHI;1;522.13;0.006;0.015
1200A147;Oelwannendichtung;MITSUBISHI;1;2344.43;0.215;0.585
1211A034;O-Ring;MITSUBISHI;1;333.2;0.003;0.009
1211A043;O-Ring;MITSUBISHI;1;279.96;0.003;0.009
1220A075;Dichtung;MITSUBISHI;1;319.46;0.006;0.015
1225A001;Oelleitung T/C;MITSUBISHI;1;2830.5;0.184;15.0
1225A006;Hohlschraube;MITSUBISHI;1;764.3;0.073;0.198
1225A012;Oelruecklaufschlauch;MITSUBISHI;1;363.26;0.033;0.15
1225A014;Oelleitung;MITSUBISHI;1;2096.25;0.085;15.0
1225A018;Oelleitung T/C;MITSUBISHI;1;3648.9;0.149;15.0
1225A028;Oelzulaufleitung;MITSUBISHI;1;7258.3;0.273;1.24
1225A030;Oelruecklaufleitung;MITSUBISHI;1;7454.96;0.297;1.35
1225A042;Oelzulaufleitung T/C;MITSUBISHI;1;1167.06;0.078;15.0
1225A051;Oelleitung;MITSUBISHI;1;969.55;0.047;15.0
1225A052;Oelleitung;MITSUBISHI;1;969.55;0.051;15.0
1225A101;Schlauch;MITSUBISHI;1;1029.66;0.066;0.3
1225A118;Oelruecklaufleitung;MITSUBISHI;1;12487.33;0.473;2.15
1225A119;Oelzulaufleitung;MITSUBISHI;1;12033.04;0.309;1.405
1225A130;Oelruecklaufleitung;MITSUBISHI;1;12866.05;0.47;2.135
1225A131;Oelzulaufleitung;MITSUBISHI;1;12866.05;0.465;2.115
1225A155;Oelzulaufleitung T/C;MITSUBISHI;1;2331.55;0.122;15.0
1225A181;Oelleitung T/C;MITSUBISHI;1;6447.62;0.227;15.0
1225A195;Oelschlauch T/C;MITSUBISHI;1;1015.06;0.056;0.255
1225A224;Oelschlauch T/C;MITSUBISHI;1;2050.74;0.092;0.42
1225A250;Oelschlauch T/C;MITSUBISHI;1;1808.56;0.084;0.38
1225A252;Oelzulaufleitung T/C;MITSUBISHI;1;2164.95;1.1;5.0
1225A345;Oelleitung T/C Ruecklauf;MITSUBISHI;1;5283.13;0.176;15.0
1226A002;Dichtung;MITSUBISHI;1;158.87;0.006;0.015
1226A007;Dichtung;MITSUBISHI;1;485.2;0.006;0.015
1226A021;Dichtung;MITSUBISHI;1;158.87;0.004;0.012
1226A029;Dichtung;MITSUBISHI;1;22.33;0.003;0.009
1226A033;Dichtung;MITSUBISHI;1;165.74;0.006;0.015
1230A093;Dichtung;MITSUBISHI;1;408.77;0.003;0.009
1230A112;Dichtung;MITSUBISHI;1;695.6;0.004;0.012
1240A001;Oelkuehler;MITSUBISHI;1;60469.22;3.533;9.0
1240A008;Oelkuehler;MITSUBISHI;1;51235.76;1.157;9.0
1240A019;Oelkuehler;MITSUBISHI;1;60469.22;0.933;9.0
1240A028;O-Ring;MITSUBISHI;1;325.47;0.003;0.009
1240A035;O-Ring;MITSUBISHI;1;325.47;0.012;0.033
1240A053;Oelkuehler;MITSUBISHI;1;50231.86;1.241;9.0
1240A055;Oelkuehler;MITSUBISHI;1;60469.22;3.333;9.0
1240A072;Oelkuehler;MITSUBISHI;1;53582.77;2.2;9.0
1240A076;O-Ring;MITSUBISHI;1;408.77;0.004;0.012
1240A125;O-Ring;MITSUBISHI;1;462.02;0.011;0.03
1242A001;Luftfuehrung;MITSUBISHI;1;2019.82;0.373;1.695
1245A004;Wasserschlauch;MITSUBISHI;1;1400.65;0.083;0.375
1245A011;Wasserschlauch;MITSUBISHI;1;2595.19;0.078;0.355
1245A017;Wasserschlauch;MITSUBISHI;1;2852.82;0.144;0.655
1250A011;Dichtung;MITSUBISHI;1;196.66;0.002;0.006
1250A012;Dichtung;MITSUBISHI;1;196.66;0.002;0.006
1250A015;Oeleinfuelldeckel;MITSUBISHI;1;1581.85;0.075;0.34
1255A070;Oelmesstabrohr;MITSUBISHI;1;2203.6;0.158;15.0
1255A100;Oelmessstabrohr;MITSUBISHI;1;3239.27;0.295;0.804
1255A120;Oelmesstabrohr;MITSUBISHI;1;2739.47;0.238;15.0
1255A201;Oelmessstab;MITSUBISHI;1;1581.85;0.05;0.135
1255A350;Oelmessstabrohr;MITSUBISHI;1;3019.42;0.338;15.0
1257A006;Oelstandssensor;MITSUBISHI;1;8930.32;0.145;0.66
1258A002;Oeldruckschalter;MITSUBISHI;1;1661.71;0.028;0.075
1258A003;Oeldruckschalter;MITSUBISHI;1;1934.8;0.053;0.144
1258A005;Oeldruckschalter;MITSUBISHI;1;2285.18;0.053;0.144
1300A030;Dichtung;MITSUBISHI;1;564.21;0.05;0.135
1300A056;Dichtung;MITSUBISHI;1;544.46;0.021;0.057
1300A108;O-Ring;MITSUBISHI;1;439.69;0.003;0.009
1305A017;Schlauchstutzen;MITSUBISHI;1;2943.85;0.169;0.77
1305A033;Dichtung;MITSUBISHI;1;401.9;0.011;0.03
1305A092;Dichtung;MITSUBISHI;1;575.37;0.011;0.03
1305A140;Schlauchstutzen;MITSUBISHI;1;3520.09;0.001;0.005
1305A142;Schlauchstutzen;MITSUBISHI;1;3390.41;0.114;0.52
1305A143;Schlauchstutzen;MITSUBISHI;1;5247.93;0.063;15.0
1305A154;Wasserrohr;MITSUBISHI;1;12789.62;0.499;2.27
1305A176;Dichtung;MITSUBISHI;1;462.02;0.006;0.015
1305A183;Dichtung;MITSUBISHI;1;575.37;0.02;0.054
1305A286;Dichtung;MITSUBISHI;1;485.2;0.004;0.012
1305A324;Dichtung;MITSUBISHI;1;575.37;0.001;0.003
1305A404;Schlauchstutzen;MITSUBISHI;1;2996.24;0.066;0.3
1308A012;Temperatursensor;MITSUBISHI;1;3204.92;0.04;0.108
1310A058;Wasserrohr;MITSUBISHI;1;4193.36;0.253;15.0
1310A079;Wasserschlauch;MITSUBISHI;1;832.15;0.051;0.23
1310A086;Wasserschlauch;MITSUBISHI;1;378.72;0.03;0.135
1310A087;Wasserschlauch;MITSUBISHI;1;544.46;0.041;0.185
1310A103;O-Ring;MITSUBISHI;1;356.39;0.003;0.009
1310A165;Wasserschlauch;MITSUBISHI;1;839.02;0.069;0.315
1310A171;Wasserrohr;MITSUBISHI;1;923.17;0.077;15.0
1310A173;Wasserrohr;MITSUBISHI;1;6841.8;0.436;15.0
1310A204;Wasserschlauch;MITSUBISHI;1;439.69;0.021;0.095
1310A205;Wasserschlauch;MITSUBISHI;1;733.39;0.036;0.165
1310A244;Wasserrohr;MITSUBISHI;1;4737.82;0.151;0.685
1310A246;Wasserschlauch;MITSUBISHI;1;1233.19;0.097;0.44
1310A247;Wasserschlauch;MITSUBISHI;1;1143.88;0.086;0.39
1310A248;Wasserrohr;MITSUBISHI;1;923.17;0.088;15.0
1310A259;Wasserrohr;MITSUBISHI;1;7946.17;0.664;15.0
1310A268;Wasserschlauch;MITSUBISHI;1;627.76;0.022;0.1
1310A290;Wasserschlauch;MITSUBISHI;1;726.52;0.039;0.175
1310A303;Wasserschlauch;MITSUBISHI;1;3072.67;0.135;0.615
1310A307;Wasserschlauch;MITSUBISHI;1;1196.26;0.085;0.385
1310A313;Dichtung;MITSUBISHI;1;536.73;0.006;0.015
1310A344;O-Ring;MITSUBISHI;1;81.58;0.002;0.006
1310A361;Wasserschlauch;MITSUBISHI;1;764.3;0.04;0.18
1310A390;Wasserrohr;MITSUBISHI;1;5040.1;0.298;15.0
1310A400;Wasserrohr;MITSUBISHI;1;2262.85;0.127;15.0
1310A431;Wasserschlauch;MITSUBISHI;1;832.15;0.024;0.11
1310A433;Wasserrohr;MITSUBISHI;1;6281.88;0.374;15.0
1310A434;Wasserschlauch;MITSUBISHI;1;1400.65;0.088;0.4
1310A453;Wasserschlauch;MITSUBISHI;1;984.15;0.033;0.15
1310A459;Wasserrohr;MITSUBISHI;1;1929.65;0.076;15.0
1310A460;Wasserschlauch;MITSUBISHI;1;319.46;0.018;0.08
1310A469;Wasserrohr;MITSUBISHI;1;1233.19;0.054;15.0
1310A508;Wasserrohr;MITSUBISHI;1;7719.46;0.464;15.0
1310A524;Wasserrohr;MITSUBISHI;1;8930.32;0.285;15.0
1310A525;Wasserrohr;MITSUBISHI;1;7719.46;0.462;15.0
1310A526;Wasserrohr;MITSUBISHI;1;7719.46;0.473;15.0
1310A532;Wasserschlauch;MITSUBISHI;1;522.13;0.037;0.17
1310A558;Wasserschlauch;MITSUBISHI;1;816.69;0.042;0.19
1310A577;Wasserrohr;MITSUBISHI;1;2565.14;0.11;15.0
1310A590;Wasserschlauch;MITSUBISHI;1;536.73;0.035;0.16
1310A591;Wasserschlauch;MITSUBISHI;1;514.4;0.033;0.15
1310A602;Wasserschlauch;MITSUBISHI;1;620.89;0.042;0.19
1310A645;Wasserschlauch;MITSUBISHI;1;1317.35;0.108;0.49
1310A648;Wasserschlauch;MITSUBISHI;1;1196.26;0.028;0.125
1310A731;Wasserrohr;MITSUBISHI;1;8930.32;0.514;15.0
1310A743;Wasserrohr;MITSUBISHI;1;6108.41;0.342;15.0
1310A744;Dichtung;MITSUBISHI;1;485.2;0.004;0.012
1310A762;Wasserschlauch;MITSUBISHI;1;3307.11;0.043;0.195
1310A901;Dichtung;MITSUBISHI;1;340.07;0.01;0.027
1310A920;Wasserrohr;MITSUBISHI;1;8174.6;0.245;1.115
1310B015;Wasserschlauch;MITSUBISHI;1;1733.85;0.055;0.25
1310B242;Wasserschlauch;MITSUBISHI;1;1915.05;0.122;0.555
1310B309;Wasserrohr;MITSUBISHI;1;3603.39;0.459;15.0
1310B313;Wasserrohr;MITSUBISHI;1;2346.15;0.076;15.0
1310B315;Wasserrohr;MITSUBISHI;1;3110.45;0.098;15.0
1310B317;Wasserrohr;MITSUBISHI;1;6841.8;0.436;15.0
1310B319;Wasserrohr;MITSUBISHI;1;3307.11;0.24;15.0
1310B321;Wasserrohr;MITSUBISHI;1;2262.85;0.129;15.0
1310B678;Wasserschlauch;MITSUBISHI;1;1702.93;0.074;0.335
1350A015;Einfuellstutzen;MITSUBISHI;1;5569.96;0.134;0.61
1351A012;Gummilager O.;MITSUBISHI;1;862.2;0.161;5.0
1351A017;Kuehlerhalter L.U;MITSUBISHI;1;1778.51;0.188;5.0
1351A018;Kuehlerhalter R.U;MITSUBISHI;1;1778.51;0.187;5.0
1351A063;Kuehlerhalter L;MITSUBISHI;1;726.52;0.066;5.0
1351A064;Kuehlerhalter R;MITSUBISHI;1;899.99;0.081;5.0
1355A010;Luefterabdeckung;MITSUBISHI;1;7355.34;1.397;15.0
1355A087;Luefterabdeckung;MITSUBISHI;1;16800.92;1.254;15.0
1355A136;Luefterabdeckung;MITSUBISHI;1;16800.92;1.705;15.0
1355A137;Kabelsatz;MITSUBISHI;1;3738.21;0.461;1.257
1355A140;Luefterabdeckung;MITSUBISHI;1;16800.92;1.234;15.0
1355A146;Luefterabdeckung;MITSUBISHI;1;16800.92;1.122;15.0
1355A148;Luefterabdeckung;MITSUBISHI;1;8552.46;4.84;15.0
1355A225;Luefterabdeckung Kuehler;MITSUBISHI;1;16800.92;1.243;15.0
1355A258;Luefterabdeckung;MITSUBISHI;1;18087.35;2.31;15.0
1355A278;Luefterabdeckung;MITSUBISHI;1;8552.46;1.934;15.0
1355A440;Luefterabdeckung;MITSUBISHI;1;18087.35;2.398;10.9
1355A449;Luefterabdeckung Kuehler;MITSUBISHI;1;16800.92;1.265;5.75
1360A007;Luftfuehrung;MITSUBISHI;1;991.88;0.18;0.82
1360A026;Luftfuehrung R;MITSUBISHI;1;567.64;0.077;0.35
1360A027;Unterlage Lueftergehaeuse;MITSUBISHI;1;356.39;0.022;0.06
1360A041;Luefterabdeckung;MITSUBISHI;1;15363.34;1.667;15.0
1360A049;Luftfuehrung L;MITSUBISHI;1;945.5;0.184;0.835
1360A073;Luftfuehrung;MITSUBISHI;1;945.5;0.218;0.594
1360A076;Luftfuehrung;MITSUBISHI;1;4335.91;0.253;1.15
1360A077;Luftfuehrung;MITSUBISHI;1;4335.91;0.235;1.07
1360A097;Luefterabdeckung;MITSUBISHI;1;9383.75;1.683;15.0
1360A099;Kuehlerabdeckung U.;MITSUBISHI;1;3374.95;0.529;2.405
1360A104;Luefterabdeckung;MITSUBISHI;1;9383.75;1.705;15.0
1360A109;Dichtung;MITSUBISHI;1;741.12;0.019;0.051
1360A110;Dichtung;MITSUBISHI;1;1581.85;0.043;0.117
1360A125;Luftfuehrung;MITSUBISHI;1;2036.14;0.215;0.975
1360A142;Luftfuehrung;MITSUBISHI;1;4335.91;0.308;1.4
1360A143;Luftfuehrung;MITSUBISHI;1;4335.91;0.253;1.15
1360A193;Luftfuehrung;MITSUBISHI;1;2036.14;0.254;1.155
1362A009;Haltering;MITSUBISHI;1;884.53;0.033;0.15
1370A023;Kuehlerschlauch O.;MITSUBISHI;1;1762.19;0.275;1.25
1370A098;Kuehlerschlauch U.;MITSUBISHI;1;1450.46;0.42;1.91
1370A107;Wasserrohr;MITSUBISHI;1;1362.86;0.091;0.415
1370A108;Kuehlerschlauch O.;MITSUBISHI;1;1972.59;0.219;0.995
