номер,название,вес,объем,бренд,цена,кол-во
0092225500,SEEGERRING,0.011,0.03,nissan,80.17,1
009331221A,STOPFEN,0.01,0.027,nissan,231.87,1
0093315010,STOPFEN,0.05,0.135,nissan,309.68,1
0128100111,BUCHSE,0.004,0.012,nissan,257.81,1
0128100271,BUCHSE,0.002,0.006,nissan,309.68,1
0128100831,BUCHSE,0.001,0.003,nissan,257.81,1
0128101081,BUCHSE,0.004,0.012,nissan,343.48,1
0151500161,SCHRAUBE,0.01,0.027,nissan,343.48,1
015530034U,KLAMMER,0.002,0.006,nissan,257.81,1
015530038U,KLAMMER,0.002,0.006,nissan,257.81,1
0155300401,KLAMMER,0.002,0.006,nissan,309.68,1
0155302253,KLAMMER,0.002,0.006,nissan,257.81,1
0155302741,KLAMMER,0.002,0.006,nissan,231.87,1
0155303643,KLAMMER,0.001,0.003,nissan,309.68,1
0155303831,KLAMMER,0.002,0.006,nissan,309.68,1
0155304691,KLAMMER,0.001,0.003,nissan,257.81,1
0155305131,KLAMMER,0.001,0.003,nissan,257.81,1
0155305233,KLAMMER,0.011,0.03,nissan,257.81,1
0155305363,KLAMMER,0.001,0.003,nissan,257.81,1
0155305393,CLIP,0.002,0.006,nissan,257.81,1
0155305751,KLAMMER,0.001,0.003,nissan,309.68,1
0155306461,KLAMMER,0.001,0.003,nissan,257.81,1
0155308231,KLAMMER,0.004,0.012,nissan,257.81,1
0155308361,KLAMMER,0.001,0.003,nissan,257.81,1
0155308541,KLAMMER,0.002,0.006,nissan,257.81,1
0155309001,KLAMMER,0.002,0.006,nissan,257.81,1
0155309021,KLAMMER,0.001,0.003,nissan,257.81,1
0155310021,KLAMMER,0.004,0.012,nissan,75.46,1
0155310051,KLAMMER,0.002,0.006,nissan,429.94,1
0155400061,KLAMMER,0.002,0.006,nissan,257.81,1
0164800121,STOPFEN,0.01,0.027,nissan,231.87,1
0165800951,STOPFEN,0.014,0.039,nissan,619.37,1
02260122C0,EINSATZ,0.44,1.2,nissan,1061.89,1
0280919300,KLAMMER,0.001,0.003,nissan,257.81,1
089152441A,DIST-SCHEIBE,0.012,0.033,nissan,231.87,1
110440W000,KOPFDICHTUNG,0.136,0.372,nissan,4782.02,1
1104450Y00,KOPFDICHTUNG,0.242,0.66,nissan,3567.65,1
1104470F00,KOPFDICHTUNG,0.205,0.558,nissan,6621.26,1
11044N2203,KOPFDICHTUNG,0.121,0.33,nissan,4237.33,1
11044V0711,KOPFDICHTUNG,0.172,0.468,nissan,6423.19,1
11051W0401,STOPFEN,0.011,0.03,nissan,410.29,1
1106203J10,DICHTUNG,0.006,0.015,nissan,508.54,1
1106207N00,DICHTUNG,0.003,0.009,nissan,1236.38,1
110625ZM0A,LEITUNG,0.014,0.039,nissan,1600.3,1
110627S000,DICHTUNG,0.004,0.012,nissan,363.92,1
11062C6000,DICHTUNG,0.003,0.009,nissan,66.81,1
11072C6000,DICHTUNG,0.004,0.012,nissan,42.44,1
11086V7206,VERBINDUNG,0.057,0.156,nissan,4851.19,1
1109853Y60,VENTILSITZ,0.011,0.03,nissan,2236.96,1
1109877A60,VENTILSITZ,0.009,0.024,nissan,2236.96,1
11098AR060,VENTILSITZ,0.017,0.045,nissan,3693.41,1
11098V5211,VENTILSITZ,0.011,0.03,nissan,2626.03,1
1109985E10,VENTILSITZ,0.033,0.09,nissan,2491.62,1
1113101B01,DICHTUNG,0.011,0.03,nissan,397.72,1
11296AG000,KLAMMER,0.003,0.009,nissan,231.87,1
1133137G00,HALTER,4.446,16.168,nissan,8732.46,1
117204M511,KEILRIEMEN,0.088,0.24,nissan,1146.77,1
118126N200,ABDECKUNG,0.001,0.003,nissan,410.29,1
118230E000,SCHLAUCH,0.121,0.55,nissan,2453.11,1
118238J10A,SCHLAUCH,0.08,0.365,nissan,3697.34,1
11823EA20A,SCHLAUCH,0.074,0.335,nissan,1702.48,1
11823JA11B,SCHLAUCH,0.086,0.39,nissan,3697.34,1
118262Y010,SCHLAUCH,0.022,0.1,nissan,1515.41,1
118264M510,SCHLAUCH,0.069,0.315,nissan,1430.52,1
118264P000,SCHLAUCH,0.1,0.455,nissan,1430.52,1
1182653J15,SCHLAUCH,0.022,0.1,nissan,3637.61,1
1182677A10,SCHLAUCH,0.022,0.1,nissan,1708.76,1
11826T5500,SCHLAUCH,0.132,0.6,nissan,1572.0,1
11828Y7000,SCHLAUCH,0.095,0.43,nissan,2130.06,1
1203225501,SICHERUNG,0.006,0.015,nissan,179.99,1
1203237500,SICHERUNG,0.011,0.03,nissan,36.94,1
1203243G00,SEEGERRING,0.004,0.012,nissan,51.88,1
12033A8620,KOLBENRING,0.33,0.9,nissan,19348.18,1
12033T8301,KOLBENRING,0.121,0.33,nissan,11578.57,1
13049D0100,GEHAEUSE,0.11,15.0,nissan,903.11,1
13049ED02A,GEHAEUSE,0.087,0.395,nissan,3095.27,1
1305007N00,DICHTUNG,0.002,0.006,nissan,581.64,1
13050V5011,DICHTUNG,0.003,0.009,nissan,800.15,1
1307953Y00,DICHTUNG,0.003,0.009,nissan,291.61,1
1321243G01,FUEHRUNG,0.018,0.048,nissan,1123.19,1
13231EY00A,STOESSEL,0.041,0.111,nissan,6563.1,1
13256D0103,FEDER,0.008,0.021,nissan,127.33,1
13264EA210,VENTILDECKEL,1.703,4.0,nissan,13570.29,1
1327003J00,VD-DICHTUNG,0.154,0.42,nissan,3673.76,1
132700M301,VD-DICHTUNG,0.065,0.177,nissan,2501.05,1
1327016A01,VD-DICHTUNG,0.099,0.27,nissan,2501.05,1
132701CA0A,VD-DICHTUNG,0.091,0.249,nissan,3517.35,1
132701CA0B,VD-DICHTUNG,0.09,0.246,nissan,3517.35,1
132701E411,VD-DICHTUNG,0.1,0.273,nissan,3517.35,1
1327031U02,VD-DICHTUNG,0.058,0.159,nissan,1719.77,1
132704M760,VD-DICHTUNG,0.047,0.129,nissan,3517.35,1
132704P400,VD-DICHTUNG,0.087,0.237,nissan,3547.22,1
132704W000,VD-DICHTUNG,0.063,0.171,nissan,2501.05,1
1327053J05,VD-DICHTUNG,0.101,0.276,nissan,1719.77,1
132705X01A,DICHTUNG,0.081,0.222,nissan,3673.76,1
